DriverNumber,Abbreviation,TeamName,ClassifiedPosition,GridPosition,Time,Status,Points,GapToLeaderMs,Year,GrandPrix
77,BOT,Mercedes,1,2,0 days 01:25:27.325000,Finished,26.0,0.0,2019,Australian Grand Prix
44,HAM,Mercedes,2,1,0 days 00:00:20.886000,Finished,18.0,20886.0,2019,Australian Grand Prix
33,VER,Red Bull Racing,3,4,0 days 00:00:22.520000,Finished,15.0,22520.0,2019,Australian Grand Prix
5,VET,Ferrari,4,3,0 days 00:00:57.109000,Finished,12.0,57109.0,2019,Australian Grand Prix
16,LEC,Ferrari,5,5,0 days 00:00:58.203000,Finished,10.0,58203.0,2019,Australian Grand Prix
20,MAG,Haas F1 Team,6,7,0 days 00:01:27.156000,Finished,8.0,87156.0,2019,Australian Grand Prix
27,HUL,Renault,7,11,,+1 Lap,6.0,123402.155,2019,Australian Grand Prix
7,RAI,Alfa Romeo Racing,8,9,,+1 Lap,4.0,128402.155,2019,Australian Grand Prix
18,STR,Racing Point,9,16,,+1 Lap,2.0,133402.155,2019,Australian Grand Prix
26,KVY,Toro Rosso,10,15,,+1 Lap,1.0,138402.155,2019,Australian Grand Prix
10,GAS,Red Bull Racing,11,17,,+1 Lap,0.0,143402.155,2019,Australian Grand Prix
4,NOR,McLaren,12,8,,+1 Lap,0.0,148402.155,2019,Australian Grand Prix
11,PER,Racing Point,13,10,,+1 Lap,0.0,153402.155,2019,Australian Grand Prix
23,ALB,Toro Rosso,14,13,,+1 Lap,0.0,158402.155,2019,Australian Grand Prix
99,GIO,Alfa Romeo Racing,15,14,,+1 Lap,0.0,163402.155,2019,Australian Grand Prix
63,RUS,Williams,16,19,,+2 Laps,0.0,256804.31,2019,Australian Grand Prix
88,KUB,Williams,17,20,,+3 Laps,0.0,350206.46499999997,2019,Australian Grand Prix
8,GRO,Haas F1 Team,20,6,,Wheel,0.0,106082.58599999998,2019,Australian Grand Prix
3,RIC,Renault,20,12,,Damage,0.0,212165.17199999996,2019,Australian Grand Prix
55,SAI,McLaren,20,18,,Engine,0.0,318247.75800000003,2019,Australian Grand Prix
44,HAM,Mercedes,1,3,0 days 01:34:21.295000,Finished,25.0,0.0,2019,Bahrain Grand Prix
77,BOT,Mercedes,2,4,0 days 00:00:02.980000,Finished,18.0,2980.0,2019,Bahrain Grand Prix
16,LEC,Ferrari,3,1,0 days 00:00:06.131000,Finished,16.0,6131.0,2019,Bahrain Grand Prix
33,VER,Red Bull Racing,4,5,0 days 00:00:06.408000,Finished,12.0,6408.0,2019,Bahrain Grand Prix
5,VET,Ferrari,5,2,0 days 00:00:36.068000,Finished,10.0,36068.0,2019,Bahrain Grand Prix
4,NOR,McLaren,6,9,0 days 00:00:45.754000,Finished,8.0,45754.0,2019,Bahrain Grand Prix
7,RAI,Alfa Romeo Racing,7,8,0 days 00:00:47.470000,Finished,6.0,47470.0,2019,Bahrain Grand Prix
10,GAS,Red Bull Racing,8,13,0 days 00:00:58.094000,Finished,4.0,58094.0,2019,Bahrain Grand Prix
23,ALB,Toro Rosso,9,12,0 days 00:01:02.697000,Finished,2.0,62697.0,2019,Bahrain Grand Prix
11,PER,Racing Point,10,14,0 days 00:01:03.696000,Finished,1.0,63696.0,2019,Bahrain Grand Prix
99,GIO,Alfa Romeo Racing,11,16,0 days 00:01:04.599000,Finished,0.0,64599.00000000001,2019,Bahrain Grand Prix
26,KVY,Toro Rosso,12,15,,+1 Lap,0.0,159320.964,2019,Bahrain Grand Prix
20,MAG,Haas F1 Team,13,6,,+1 Lap,0.0,164320.964,2019,Bahrain Grand Prix
18,STR,Racing Point,14,18,,+1 Lap,0.0,169320.964,2019,Bahrain Grand Prix
63,RUS,Williams,15,19,,+1 Lap,0.0,174320.964,2019,Bahrain Grand Prix
88,KUB,Williams,16,20,,+2 Laps,0.0,278641.928,2019,Bahrain Grand Prix
27,HUL,Renault,20,17,,Engine,0.0,337691.27760000003,2019,Bahrain Grand Prix
3,RIC,Renault,20,10,,Out of fuel,0.0,198641.928,2019,Bahrain Grand Prix
55,SAI,McLaren,20,7,,Collision damage,0.0,139049.34960000002,2019,Bahrain Grand Prix
8,GRO,Haas F1 Team,20,11,,Retired,0.0,218506.1208,2019,Bahrain Grand Prix
44,HAM,Mercedes,1,2,0 days 01:32:06.350000,Finished,25.0,0.0,2019,Chinese Grand Prix
77,BOT,Mercedes,2,1,0 days 00:00:06.552000,Finished,18.0,6552.0,2019,Chinese Grand Prix
5,VET,Ferrari,3,3,0 days 00:00:13.774000,Finished,15.0,13774.0,2019,Chinese Grand Prix
33,VER,Red Bull Racing,4,5,0 days 00:00:27.627000,Finished,12.0,27627.0,2019,Chinese Grand Prix
16,LEC,Ferrari,5,4,0 days 00:00:31.276000,Finished,10.0,31276.0,2019,Chinese Grand Prix
10,GAS,Red Bull Racing,6,6,0 days 00:01:29.307000,Finished,9.0,89307.0,2019,Chinese Grand Prix
3,RIC,Renault,7,7,,+1 Lap,6.0,133684.821,2019,Chinese Grand Prix
11,PER,Racing Point,8,12,,+1 Lap,4.0,138684.821,2019,Chinese Grand Prix
7,RAI,Alfa Romeo Racing,9,13,,+1 Lap,2.0,143684.821,2019,Chinese Grand Prix
23,ALB,Toro Rosso,10,0,,+1 Lap,1.0,148684.821,2019,Chinese Grand Prix
8,GRO,Haas F1 Team,11,10,,+1 Lap,0.0,153684.821,2019,Chinese Grand Prix
18,STR,Racing Point,12,16,,+1 Lap,0.0,158684.821,2019,Chinese Grand Prix
20,MAG,Haas F1 Team,13,9,,+1 Lap,0.0,163684.821,2019,Chinese Grand Prix
55,SAI,McLaren,14,14,,+1 Lap,0.0,168684.821,2019,Chinese Grand Prix
99,GIO,Alfa Romeo Racing,15,19,,+1 Lap,0.0,173684.821,2019,Chinese Grand Prix
63,RUS,Williams,16,17,,+2 Laps,0.0,277369.642,2019,Chinese Grand Prix
88,KUB,Williams,17,18,,+2 Laps,0.0,282369.642,2019,Chinese Grand Prix
4,NOR,McLaren,18,15,,Collision,0.0,296054.463,2019,Chinese Grand Prix
26,KVY,Toro Rosso,20,11,,Collision,0.0,217106.60619999998,2019,Chinese Grand Prix
27,HUL,Renault,20,8,,Power Unit,0.0,157895.7136,2019,Chinese Grand Prix
77,BOT,Mercedes,1,1,0 days 01:31:52.942000,Finished,25.0,0.0,2019,Azerbaijan Grand Prix
44,HAM,Mercedes,2,2,0 days 00:00:01.524000,Finished,18.0,1524.0,2019,Azerbaijan Grand Prix
5,VET,Ferrari,3,3,0 days 00:00:11.739000,Finished,15.0,11739.0,2019,Azerbaijan Grand Prix
33,VER,Red Bull Racing,4,4,0 days 00:00:17.493000,Finished,12.0,17493.0,2019,Azerbaijan Grand Prix
16,LEC,Ferrari,5,8,0 days 00:01:09.107000,Finished,11.0,69107.0,2019,Azerbaijan Grand Prix
11,PER,Racing Point,6,5,0 days 00:01:16.416000,Finished,8.0,76416.0,2019,Azerbaijan Grand Prix
55,SAI,McLaren,7,9,0 days 00:01:23.826000,Finished,6.0,83826.0,2019,Azerbaijan Grand Prix
