Driver,Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,AverageSpeed,AvgSpeedGap,Year,GrandPrix
GAS,0 days 01:19:11.103976744,272.4418604651163,287.83720930232556,297.51162790697674,298.83720930232556,289.156976744186,0.0,2019,Australian Grand Prix
KVY,0 days 01:20:46.384189189,271.4864864864865,286.43243243243245,294.4864864864865,296.0810810810811,287.1216216216216,2.035355122564397,2019,Australian Grand Prix
STR,0 days 01:21:03.271628571,270.2857142857143,286.4,290.0285714285714,295.9714285714286,285.6714285714286,3.485548172757433,2019,Australian Grand Prix
RAI,0 days 01:17:15.052384615,273.6923076923077,285.8974358974359,287.0769230769231,293.61538461538464,285.0705128205128,4.086463923673193,2019,Australian Grand Prix
PER,0 days 01:19:01.634189189,268.7837837837838,285.02702702702703,290.13513513513516,293.6216216216216,284.39189189189193,4.7650848522940805,2019,Australian Grand Prix
VER,0 days 01:17:00.704473684,275.0263157894737,283.2368421052632,287.5,289.13157894736844,283.72368421052636,5.433292533659653,2019,Australian Grand Prix
ALB,0 days 01:18:22.101723404,270.21276595744683,285.8936170212766,288.1276595744681,289.6170212765957,283.46276595744683,5.694210786739177,2019,Australian Grand Prix
NOR,0 days 01:14:58.303515151,270.42424242424244,282.6969696969697,289.3939393939394,290.6363636363636,283.28787878787875,5.869097956307257,2019,Australian Grand Prix
SAI,0 days 00:40:36.957833333,264.1666666666667,286.3333333333333,297.0,285.3333333333333,283.2083333333333,5.948643410852696,2019,Australian Grand Prix
GIO,0 days 01:16:27.030038461,272.11538461538464,280.53846153846155,283.3076923076923,288.38461538461536,281.08653846153845,8.070438282647558,2019,Australian Grand Prix
BOT,0 days 01:19:42.842295454,269.95454545454544,280.0681818181818,284.1818181818182,289.72727272727275,280.98295454545456,8.17402219873145,2019,Australian Grand Prix
HAM,0 days 01:14:48.271820512,268.5128205128205,281.94871794871796,284.2564102564103,287.7692307692308,280.62179487179486,8.53518187239115,2019,Australian Grand Prix
GRO,0 days 00:55:29.069666666,269.8095238095238,280.8095238095238,284.85714285714283,284.04761904761904,279.88095238095235,9.27602436323366,2019,Australian Grand Prix
HUL,0 days 01:16:29.209085714,266.7142857142857,280.0,286.14285714285717,285.57142857142856,279.6071428571429,9.549833887043121,2019,Australian Grand Prix
MAG,0 days 01:16:34.377588235,268.94117647058823,277.3235294117647,280.47058823529414,281.7647058823529,277.125,12.03197674418601,2019,Australian Grand Prix
RUS,0 days 01:19:35.903513513,257.8378378378378,277.7027027027027,282.86486486486484,283.81081081081084,275.55405405405406,13.602922690131948,2019,Australian Grand Prix
RIC,0 days 00:58:56.935625,265.125,275.6875,281.125,278.9375,275.21875,13.93822674418601,2019,Australian Grand Prix
VET,0 days 01:16:18.798777777,266.19444444444446,274.4166666666667,279.5,280.19444444444446,275.0763888888889,14.080587855297097,2019,Australian Grand Prix
KUB,0 days 01:17:57.811833333,263.72222222222223,272.0833333333333,280.6111111111111,282.3333333333333,274.6875,14.46947674418601,2019,Australian Grand Prix
LEC,0 days 01:19:44.561142857,265.8775510204082,274.51020408163265,280.3469387755102,277.9795918367347,274.67857142857144,14.478405315614566,2019,Australian Grand Prix
HUL,0 days 01:16:52.456882352,232.7058823529412,248.94117647058823,285.0882352941176,296.7352941176471,265.86764705882354,0.0,2019,Bahrain Grand Prix
SAI,0 days 01:21:24.067600,233.66666666666666,254.36666666666667,282.43333333333334,292.6,265.76666666666665,0.10098039215688459,2019,Bahrain Grand Prix
RIC,0 days 01:16:49.975944444,233.86111111111111,246.38888888888889,282.6388888888889,299.69444444444446,265.64583333333337,0.22181372549016487,2019,Bahrain Grand Prix
PER,0 days 01:25:49.615714285,233.11428571428573,247.02857142857144,279.14285714285717,294.8285714285714,263.52857142857147,2.3390756302520685,2019,Bahrain Grand Prix
STR,0 days 01:22:45.876909090,230.1818181818182,248.0909090909091,278.1136363636364,295.59090909090907,262.9943181818182,2.873328877005349,2019,Bahrain Grand Prix
RAI,0 days 01:19:25.429553191,231.82978723404256,245.89361702127658,278.468085106383,293.40425531914894,262.3989361702128,3.468710888610758,2019,Bahrain Grand Prix
ALB,0 days 01:21:54.849682926,234.2439024390244,244.14634146341464,276.9268292682927,294.0975609756098,262.3536585365854,3.513988522238151,2019,Bahrain Grand Prix
GIO,0 days 01:18:13.293972222,232.72222222222223,246.30555555555554,278.3611111111111,289.1388888888889,261.63194444444446,4.235702614379079,2019,Bahrain Grand Prix
NOR,0 days 01:20:43.246302325,231.62790697674419,242.5581395348837,278.16279069767444,293.83720930232556,261.54651162790697,4.32113543091657,2019,Bahrain Grand Prix
