Driver code,Race name,Race year,Q1,Q2,Q3
LEC,Bahrain Grand Prix,2019,1:28.495,1:28.046,1:27.866
VET,Bahrain Grand Prix,2019,1:28.733,1:28.356,1:28.160
HAM,Bahrain Grand Prix,2019,1:29.262,1:28.578,1:28.190
BOT,Bahrain Grand Prix,2019,1:29.498,1:28.830,1:28.256
VER,Bahrain Grand Prix,2019,1:29.579,1:29.109,1:28.752
MAG,Bahrain Grand Prix,2019,1:29.532,1:29.017,1:28.757
SAI,Bahrain Grand Prix,2019,1:29.528,1:29.055,1:28.813
GRO,Bahrain Grand Prix,2019,1:29.688,1:29.249,1:29.015
RAI,Bahrain Grand Prix,2019,1:29.959,1:29.471,1:29.022
NOR,Bahrain Grand Prix,2019,1:29.381,1:29.258,1:29.043
RIC,Bahrain Grand Prix,2019,1:29.859,1:29.488,\N
ALB,Bahrain Grand Prix,2019,1:29.514,1:29.513,\N
GAS,Bahrain Grand Prix,2019,1:29.900,1:29.526,\N
PER,Bahrain Grand Prix,2019,1:29.893,1:29.756,\N
KVY,Bahrain Grand Prix,2019,1:29.876,1:29.854,\N
GIO,Bahrain Grand Prix,2019,1:30.026,\N,\N
HUL,Bahrain Grand Prix,2019,1:30.034,\N,\N
STR,Bahrain Grand Prix,2019,1:30.217,\N,\N
RUS,Bahrain Grand Prix,2019,1:31.759,\N,\N
KUB,Bahrain Grand Prix,2019,1:31.799,\N,\N
BOT,Chinese Grand Prix,2019,1:32.658,1:31.728,1:31.547
HAM,Chinese Grand Prix,2019,1:33.115,1:31.637,1:31.570
VET,Chinese Grand Prix,2019,1:33.557,1:32.232,1:31.848
LEC,Chinese Grand Prix,2019,1:32.712,1:32.324,1:31.865
VER,Chinese Grand Prix,2019,1:33.274,1:32.369,1:32.089
GAS,Chinese Grand Prix,2019,1:33.863,1:32.948,1:32.930
RIC,Chinese Grand Prix,2019,1:33.709,1:33.214,1:32.958
HUL,Chinese Grand Prix,2019,1:33.644,1:33.968,1:32.962
MAG,Chinese Grand Prix,2019,1:34.036,1:33.150,\N
GRO,Chinese Grand Prix,2019,1:33.752,1:33.156,\N
KVY,Chinese Grand Prix,2019,1:33.783,1:33.236,\N
PER,Chinese Grand Prix,2019,1:34.026,1:33.299,\N
RAI,Chinese Grand Prix,2019,1:34.125,1:33.419,\N
SAI,Chinese Grand Prix,2019,1:33.686,1:33.523,\N
NOR,Chinese Grand Prix,2019,1:34.148,1:33.967,\N
STR,Chinese Grand Prix,2019,1:34.292,\N,\N
RUS,Chinese Grand Prix,2019,1:35.253,\N,\N
KUB,Chinese Grand Prix,2019,1:35.281,\N,\N
BOT,Azerbaijan Grand Prix,2019,1:42.026,1:41.500,1:40.495
HAM,Azerbaijan Grand Prix,2019,1:41.614,1:41.580,1:40.554
VET,Azerbaijan Grand Prix,2019,1:42.042,1:41.889,1:40.797
VER,Azerbaijan Grand Prix,2019,1:41.727,1:41.388,1:41.069
PER,Azerbaijan Grand Prix,2019,1:42.249,1:41.870,1:41.593
KVY,Azerbaijan Grand Prix,2019,1:42.324,1:42.221,1:41.681
NOR,Azerbaijan Grand Prix,2019,1:42.371,1:42.084,1:41.886
GIO,Azerbaijan Grand Prix,2019,1:42.140,1:42.381,1:42.424
LEC,Azerbaijan Grand Prix,2019,1:41.426,1:41.995,\N
SAI,Azerbaijan Grand Prix,2019,1:41.936,1:42.398,\N
RIC,Azerbaijan Grand Prix,2019,1:42.486,1:42.477,\N
ALB,Azerbaijan Grand Prix,2019,1:42.154,1:42.494,\N
MAG,Azerbaijan Grand Prix,2019,1:42.382,1:42.699,\N
STR,Azerbaijan Grand Prix,2019,1:42.630,\N,\N
GRO,Azerbaijan Grand Prix,2019,1:43.407,\N,\N
HUL,Azerbaijan Grand Prix,2019,1:43.427,\N,\N
RUS,Azerbaijan Grand Prix,2019,1:45.062,\N,\N
KUB,Azerbaijan Grand Prix,2019,1:45.455,\N,\N
RAI,Azerbaijan Grand Prix,2019,\N,\N,\N
GAS,Azerbaijan Grand Prix,2019,\N,\N,\N
BOT,Spanish Grand Prix,2019,1:16.979,1:15.924,1:15.406
HAM,Spanish Grand Prix,2019,1:17.292,1:16.038,1:16.040
VET,Spanish Grand Prix,2019,1:17.425,1:16.667,1:16.272
VER,Spanish Grand Prix,2019,1:17.244,1:16.726,1:16.357
LEC,Spanish Grand Prix,2019,1:17.388,1:16.714,1:16.588
GAS,Spanish Grand Prix,2019,1:17.862,1:16.932,1:16.708
GRO,Spanish Grand Prix,2019,1:18.042,1:17.066,1:16.911
MAG,Spanish Grand Prix,2019,1:17.669,1:17.272,1:16.922
KVY,Spanish Grand Prix,2019,1:17.914,1:17.243,1:17.573
RIC,Spanish Grand Prix,2019,1:18.385,1:17.299,1:18.106
NOR,Spanish Grand Prix,2019,1:17.611,1:17.338,\N
ALB,Spanish Grand Prix,2019,1:17.796,1:17.445,\N
SAI,Spanish Grand Prix,2019,1:17.760,1:17.599,\N
RAI,Spanish Grand Prix,2019,1:18.132,1:17.788,\N
PER,Spanish Grand Prix,2019,1:18.286,1:17.886,\N
HUL,Spanish Grand Prix,2019,1:18.404,\N,\N
STR,Spanish Grand Prix,2019,1:18.471,\N,\N
GIO,Spanish Grand Prix,2019,1:18.664,\N,\N
RUS,Spanish Grand Prix,2019,1:19.072,\N,\N
KUB,Spanish Grand Prix,2019,1:20.254,\N,\N
HAM,Monaco Grand Prix,2019,1:11.542,1:10.835,1:10.166
BOT,Monaco Grand Prix,2019,1:11.562,1:10.701,1:10.252
VER,Monaco Grand Prix,2019,1:11.597,1:10.618,1:10.641
VET,Monaco Grand Prix,2019,1:11.434,1:11.227,1:10.947
GAS,Monaco Grand Prix,2019,1:11.740,1:11.457,1:11.041
MAG,Monaco Grand Prix,2019,1:11.865,1:11.363,1:11.109
RIC,Monaco Grand Prix,2019,1:11.767,1:11.543,1:11.218
KVY,Monaco Grand Prix,2019,1:11.602,1:11.412,1:11.271
SAI,Monaco Grand Prix,2019,1:11.872,1:11.608,1:11.417
ALB,Monaco Grand Prix,2019,1:12.007,1:11.429,1:11.653
HUL,Monaco Grand Prix,2019,1:12.097,1:11.670,\N
NOR,Monaco Grand Prix,2019,1:11.845,1:11.724,\N
GRO,Monaco Grand Prix,2019,1:11.837,1:12.027,\N
RAI,Monaco Grand Prix,2019,1:11.993,1:12.115,\N
GIO,Monaco Grand Prix,2019,1:11.976,1:12.185,\N
LEC,Monaco Grand Prix,2019,1:12.149,\N,\N
PER,Monaco Grand Prix,2019,1:12.233,\N,\N
STR,Monaco Grand Prix,2019,1:12.846,\N,\N
RUS,Monaco Grand Prix,2019,1:13.477,\N,\N
KUB,Monaco Grand Prix,2019,1:13.751,\N,\N
VET,Canadian Grand Prix,2019,1:11.200,1:11.142,1:10.240
HAM,Canadian Grand Prix,2019,1:11.518,1:11.010,1:10.446
LEC,Canadian Grand Prix,2019,1:11.214,1:11.205,1:10.920
RIC,Canadian Grand Prix,2019,1:11.837,1:11.532,1:11.071
GAS,Canadian Grand Prix,2019,1:12.023,1:11.196,1:11.079
BOT,Canadian Grand Prix,2019,1:11.229,1:11.095,1:11.101
HUL,Canadian Grand Prix,2019,1:11.720,1:11.553,1:11.324
NOR,Canadian Grand Prix,2019,1:11.780,1:11.735,1:11.863
SAI,Canadian Grand Prix,2019,1:11.750,1:11.572,1:13.981
MAG,Canadian Grand Prix,2019,1:12.107,1:11.786,\N
VER,Canadian Grand Prix,2019,1:11.619,1:11.800,\N
KVY,Canadian Grand Prix,2019,1:11.965,1:11.921,\N
GIO,Canadian Grand Prix,2019,1:12.122,1:12.136,\N
ALB,Canadian Grand Prix,2019,1:12.020,1:12.193,\N
GRO,Canadian Grand Prix,2019,1:12.109,\N,\N
PER,Canadian Grand Prix,2019,1:12.197,\N,\N
RAI,Canadian Grand Prix,2019,1:12.230,\N,\N
STR,Canadian Grand Prix,2019,1:12.266,\N,\N
RUS,Canadian Grand Prix,2019,1:13.617,\N,\N
KUB,Canadian Grand Prix,2019,1:14.393,\N,\N
HAM,French Grand Prix,2019,1:30.609,1:29.520,1:28.319
BOT,French Grand Prix,2019,1:30.550,1:29.437,1:28.605
LEC,French Grand Prix,2019,1:30.647,1:29.699,1:28.965
VER,French Grand Prix,2019,1:31.327,1:30.099,1:29.409
NOR,French Grand Prix,2019,1:30.989,1:30.019,1:29.418
SAI,French Grand Prix,2019,1:31.073,1:30.319,1:29.522
VET,French Grand Prix,2019,1:31.075,1:29.506,1:29.799
RIC,French Grand Prix,2019,1:30.954,1:30.369,1:29.918
GAS,French Grand Prix,2019,1:31.152,1:30.421,1:30.184
GIO,French Grand Prix,2019,1:31.180,1:30.408,1:33.420
ALB,French Grand Prix,2019,1:31.445,1:30.461,\N
RAI,French Grand Prix,2019,1:30.972,1:30.533,\N
HUL,French Grand Prix,2019,1:30.865,1:30.544,\N
PER,French Grand Prix,2019,1:30.964,1:30.738,\N
MAG,French Grand Prix,2019,1:31.166,1:31.440,\N
KVY,French Grand Prix,2019,1:31.564,\N,\N
GRO,French Grand Prix,2019,1:31.626,\N,\N
STR,French Grand Prix,2019,1:31.726,\N,\N
RUS,French Grand Prix,2019,1:32.789,\N,\N
KUB,French Grand Prix,2019,1:33.205,\N,\N
LEC,Austrian Grand Prix,2019,1:04.138,1:03.378,1:03.003
HAM,Austrian Grand Prix,2019,1:03.818,1:03.803,1:03.262
VER,Austrian Grand Prix,2019,1:03.807,1:03.835,1:03.439
BOT,Austrian Grand Prix,2019,1:04.084,1:03.863,1:03.537
MAG,Austrian Grand Prix,2019,1:04.778,1:04.466,1:04.072
NOR,Austrian Grand Prix,2019,1:04.361,1:04.211,1:04.099
RAI,Austrian Grand Prix,2019,1:04.615,1:04.056,1:04.166
GIO,Austrian Grand Prix,2019,1:04.450,1:04.194,1:04.179
GAS,Austrian Grand Prix,2019,1:04.412,1:03.988,1:04.199
VET,Austrian Grand Prix,2019,1:04.430,1:03.667,\N
GRO,Austrian Grand Prix,2019,1:04.552,1:04.490,\N
HUL,Austrian Grand Prix,2019,1:04.733,1:04.516,\N
