Abbreviation,GrandPrix,Year,Q1,Q2,Q3,Q1_gap,Q2_gap,Q3_gap
HAM,Australian Grand Prix,2008,1:26.572,1:25.187,1:26.714,0.9080000000000013,0.0,0.0
KUB,Australian Grand Prix,2008,1:26.103,1:25.315,1:26.869,0.43900000000000716,0.1280000000000001,0.15500000000000114
KOV,Australian Grand Prix,2008,1:25.664,1:25.452,1:27.079,0.0,0.26500000000000057,0.3650000000000091
MAS,Australian Grand Prix,2008,1:25.994,1:25.691,1:27.178,0.3299999999999983,0.5040000000000049,0.46399999999999864
HEI,Australian Grand Prix,2008,1:25.960,1:25.518,1:27.236,0.2960000000000065,0.33100000000000307,0.5220000000000056
TRU,Australian Grand Prix,2008,1:26.427,1:26.101,1:28.527,0.762999999999991,0.9140000000000015,1.8130000000000024
ROS,Australian Grand Prix,2008,1:26.295,1:26.059,1:28.687,0.6310000000000002,0.8719999999999999,1.972999999999999
COU,Australian Grand Prix,2008,1:26.381,1:26.063,1:29.041,0.7169999999999987,0.8760000000000048,2.326999999999998
GLO,Australian Grand Prix,2008,1:26.919,1:26.164,1:29.593,1.2549999999999955,0.9770000000000039,2.879000000000005
VET,Australian Grand Prix,2008,1:26.702,1:25.842,\N,1.0379999999999967,0.6550000000000011,0.8448400000000049
BAR,Australian Grand Prix,2008,1:26.369,1:26.173,\N,0.7049999999999983,0.9860000000000042,1.182460000000006
ALO,Australian Grand Prix,2008,1:26.907,1:26.188,\N,1.242999999999995,1.0010000000000048,1.1977600000000024
BUT,Australian Grand Prix,2008,1:26.712,1:26.259,\N,1.0480000000000018,1.0720000000000027,1.2701799999999963
NAK,Australian Grand Prix,2008,1:26.891,1:26.413,\N,1.2269999999999897,1.225999999999999,1.427260000000004
WEB,Australian Grand Prix,2008,1:26.914,\N,\N,1.25,4.334420000000009,4.597848400000004
RAI,Australian Grand Prix,2008,1:26.140,\N,\N,0.4759999999999991,3.5371999999999986,3.7846839999999986
FIS,Australian Grand Prix,2008,1:27.207,\N,\N,1.5429999999999922,4.636209999999991,4.905674199999993
BOU,Australian Grand Prix,2008,1:27.446,\N,\N,1.7819999999999965,4.882379999999998,5.156767599999995
SUT,Australian Grand Prix,2008,1:27.859,\N,\N,2.1950000000000074,5.307770000000019,5.59066540000002
SAT,Australian Grand Prix,2008,1:28.208,\N,\N,2.543999999999997,5.667240000000007,5.957324800000009
PIQ,Australian Grand Prix,2008,1:28.330,\N,\N,2.665999999999997,5.792900000000003,6.085498000000001
DAV,Australian Grand Prix,2008,1:29.059,\N,\N,3.394999999999996,6.543770000000009,6.851385400000012
MAS,Malaysian Grand Prix,2008,1:35.347,1:34.412,1:35.748,0.14200000000001012,0.22400000000000375,0.0
RAI,Malaysian Grand Prix,2008,1:35.645,1:34.188,1:36.230,0.44000000000001194,0.0,0.4819999999999993
KOV,Malaysian Grand Prix,2008,1:35.227,1:34.759,1:36.613,0.02200000000000557,0.570999999999998,0.8650000000000091
HAM,Malaysian Grand Prix,2008,1:35.392,1:34.627,1:36.709,0.1869999999999976,0.43900000000000716,0.9610000000000127
TRU,Malaysian Grand Prix,2008,1:35.205,1:34.960,1:36.711,0.0,0.7720000000000056,0.9630000000000081
KUB,Malaysian Grand Prix,2008,1:35.794,1:34.811,1:36.727,0.5889999999999986,0.6230000000000047,0.9790000000000134
HEI,Malaysian Grand Prix,2008,1:35.729,1:34.648,1:36.753,0.5240000000000009,0.45999999999999375,1.0050000000000097
WEB,Malaysian Grand Prix,2008,1:35.440,1:34.967,1:37.009,0.23499999999999943,0.7789999999999964,1.26100000000001
ALO,Malaysian Grand Prix,2008,1:35.983,1:35.140,1:38.450,0.7780000000000058,0.9519999999999982,2.7020000000000124
GLO,Malaysian Grand Prix,2008,1:35.891,1:35.000,1:39.656,0.6859999999999928,0.8119999999999976,3.9080000000000155
BUT,Malaysian Grand Prix,2008,1:35.847,1:35.208,\N,0.6420000000000101,1.019999999999996,1.3641600000000125
COU,Malaysian Grand Prix,2008,1:36.058,1:35.408,\N,0.8529999999999944,1.2199999999999989,1.568160000000006
PIQ,Malaysian Grand Prix,2008,1:36.074,1:35.562,\N,0.8689999999999998,1.3739999999999952,1.7252400000000137
BAR,Malaysian Grand Prix,2008,1:36.198,1:35.622,\N,0.9930000000000092,1.4339999999999975,1.7864400000000131
VET,Malaysian Grand Prix,2008,1:36.111,1:35.648,\N,0.9059999999999917,1.4599999999999937,1.812960000000004
ROS,Malaysian Grand Prix,2008,1:35.843,1:35.670,\N,0.6380000000000052,1.4819999999999993,1.835400000000007
FIS,Malaysian Grand Prix,2008,1:36.240,\N,\N,1.0350000000000108,4.939200000000014,5.36174400000003
NAK,Malaysian Grand Prix,2008,1:36.388,\N,\N,1.183000000000007,5.091640000000012,5.517232800000031
BOU,Malaysian Grand Prix,2008,1:36.677,\N,\N,1.4719999999999942,5.389309999999995,5.820856200000009
SAT,Malaysian Grand Prix,2008,1:37.087,\N,\N,1.882000000000005,5.811610000000002,6.251602200000022
SUT,Malaysian Grand Prix,2008,1:37.101,\N,\N,1.8960000000000008,5.826030000000003,6.266310600000011
DAV,Malaysian Grand Prix,2008,1:37.481,\N,\N,2.2759999999999962,6.217429999999993,6.665538600000005
KUB,Bahrain Grand Prix,2008,1:32.893,1:31.745,1:33.096,0.9560000000000031,0.5570000000000022,0.0
MAS,Bahrain Grand Prix,2008,1:31.937,1:31.188,1:33.123,0.0,0.0,0.026999999999986812
HAM,Bahrain Grand Prix,2008,1:32.750,1:31.922,1:33.292,0.8130000000000024,0.7339999999999947,0.19599999999999795
RAI,Bahrain Grand Prix,2008,1:32.652,1:31.933,1:33.418,0.7150000000000034,0.7449999999999903,0.32200000000000273
KOV,Bahrain Grand Prix,2008,1:33.057,1:31.718,1:33.488,1.1200000000000045,0.5300000000000011,0.3919999999999959
HEI,Bahrain Grand Prix,2008,1:33.137,1:31.909,1:33.737,1.2000000000000028,0.7209999999999894,0.6409999999999911
TRU,Bahrain Grand Prix,2008,1:32.493,1:32.159,1:33.994,0.5559999999999974,0.9709999999999894,0.8979999999999961
ROS,Bahrain Grand Prix,2008,1:32.903,1:32.185,1:34.015,0.965999999999994,0.9969999999999999,0.9189999999999969
BUT,Bahrain Grand Prix,2008,1:32.793,1:32.362,1:35.057,0.8560000000000088,1.1739999999999924,1.9609999999999985
ALO,Bahrain Grand Prix,2008,1:32.947,1:32.345,1:35.115,1.0100000000000051,1.1569999999999965,2.0190000000000055
WEB,Bahrain Grand Prix,2008,1:33.194,1:32.371,\N,1.257000000000005,1.183000000000007,1.1224200000000053
BAR,Bahrain Grand Prix,2008,1:32.944,1:32.508,\N,1.007000000000005,1.3200000000000074,1.2621600000000086
GLO,Bahrain Grand Prix,2008,1:32.800,1:32.528,\N,0.8629999999999995,1.3399999999999892,1.2825599999999895
PIQ,Bahrain Grand Prix,2008,1:32.975,1:32.790,\N,1.0379999999999967,1.6019999999999897,1.5497999999999905
BOU,Bahrain Grand Prix,2008,1:33.415,1:32.915,\N,1.4779999999999944,1.7269999999999897,1.6772999999999882
NAK,Bahrain Grand Prix,2008,1:33.386,1:32.943,\N,1.448999999999998,1.7549999999999955,1.7058600000000013
COU,Bahrain Grand Prix,2008,1:33.433,\N,\N,1.4959999999999951,5.047989999999999,5.064709800000003
FIS,Bahrain Grand Prix,2008,1:33.501,\N,\N,1.5640000000000072,5.1180300000000045,5.136150600000008
VET,Bahrain Grand Prix,2008,1:33.562,\N,\N,1.625,5.180859999999996,5.2002371999999895
SUT,Bahrain Grand Prix,2008,1:33.845,\N,\N,1.9080000000000013,5.472350000000006,5.4975570000000005
DAV,Bahrain Grand Prix,2008,1:34.140,\N,\N,2.203000000000003,5.776200000000003,5.807484000000002
SAT,Bahrain Grand Prix,2008,1:35.725,\N,\N,3.7879999999999967,7.408749999999998,7.4726849999999985
RAI,Spanish Grand Prix,2008,1:20.701,1:20.784,1:21.813,0.0,0.19999999999998863,0.0
ALO,Spanish Grand Prix,2008,1:21.347,1:20.804,1:21.904,0.646000000000015,0.21999999999999886,0.09099999999999397
MAS,Spanish Grand Prix,2008,1:21.528,1:20.584,1:22.058,0.8269999999999982,0.0,0.24499999999999034
KUB,Spanish Grand Prix,2008,1:21.423,1:20.597,1:22.065,0.7220000000000084,0.01300000000000523,0.25199999999999534
HAM,Spanish Grand Prix,2008,1:21.366,1:20.825,1:22.096,0.6650000000000063,0.24099999999999966,0.28300000000000125
